audit_id,flight_date,station_code,handler_name,turnaround_target_mins,turnaround_actual_mins,turnaround_variance_mins,is_on_time,baggage_delay_mins,safety_incident_flag
1,2025-06-22 00:00:00,NRT,Menzies,90,72,-18,t,13,f
2,2025-10-31 00:00:00,LHR,Menzies,60,80,20,f,26,f
3,2025-07-10 00:00:00,LHR,Menzies,45,38,-7,t,15,f
4,2025-07-10 00:00:00,DXB,dnata,60,61,1,f,30,f
5,2025-12-26 00:00:00,NRT,Menzies,60,82,22,f,13,f
6,2025-01-30 00:00:00,JFK,Menzies,45,78,33,f,22,f
7,2025-06-23 00:00:00,JFK,Swissport,60,49,-11,t,19,f
8,2025-12-08 00:00:00,FRA,dnata,60,53,-7,t,26,f
9,2025-08-09 00:00:00,DXB,WFS,120,54,-66,t,11,f
10,2025-06-29 00:00:00,DXB,dnata,120,66,-54,t,22,f
11,2025-03-23 00:00:00,JFK,Menzies,90,71,-19,t,9,f
12,2025-09-16 00:00:00,JFK,Swissport,60,33,-27,t,19,f
13,2025-05-15 00:00:00,LHR,Menzies,120,55,-65,t,13,f
14,2025-08-17 00:00:00,LHR,Menzies,120,66,-54,t,10,f
15,2025-09-03 00:00:00,SIN,Menzies,60,41,-19,t,29,f
16,2025-09-26 00:00:00,NRT,Swissport,45,88,43,f,13,f
17,2025-04-07 00:00:00,NRT,Swissport,45,81,36,f,7,f
19,2025-01-10 00:00:00,DXB,Menzies,120,55,-65,t,12,f
20,2025-08-16 00:00:00,YUL,Menzies,120,52,-68,t,26,f
21,2025-12-07 00:00:00,SIN,WFS,120,70,-50,t,28,f
22,2025-09-06 00:00:00,NRT,Menzies,120,25,-95,t,6,f
23,2025-12-03 00:00:00,YUL,Menzies,45,92,47,f,20,f
24,2025-03-24 00:00:00,NRT,Swissport,45,68,23,f,31,f
25,2025-12-31 00:00:00,SIN,Menzies,90,53,-37,t,8,f
26,2025-06-22 00:00:00,LHR,Swissport,60,76,16,f,26,f
27,2025-04-06 00:00:00,NRT,Menzies,45,50,5,f,6,f
28,2025-05-25 00:00:00,YUL,Menzies,120,81,-39,t,27,f
29,2025-12-20 00:00:00,NRT,Menzies,120,47,-73,t,13,f
30,2025-01-25 00:00:00,FRA,Menzies,45,98,53,f,20,f
31,2025-07-11 00:00:00,SIN,WFS,45,26,-19,t,30,f
32,2025-12-12 00:00:00,DXB,WFS,90,64,-26,t,9,f
33,2025-02-21 00:00:00,NRT,dnata,60,103,43,f,4,f
34,2025-12-30 00:00:00,LHR,dnata,90,55,-35,t,9,f
35,2025-11-12 00:00:00,JFK,Menzies,60,56,-4,t,18,f
36,2025-07-03 00:00:00,YUL,Menzies,90,77,-13,t,25,f
37,2025-03-18 00:00:00,LHR,Menzies,45,89,44,f,13,f
38,2025-05-18 00:00:00,LHR,Swissport,60,74,14,f,19,f
39,2025-07-12 00:00:00,YUL,Menzies,120,51,-69,t,3,f
40,2025-11-19 00:00:00,FRA,dnata,90,65,-25,t,8,f
41,2025-07-06 00:00:00,DXB,Menzies,45,85,40,f,17,f
42,2025-03-02 00:00:00,FRA,Swissport,60,83,23,f,24,f
