audit_id,station_code,handler_name,flight_date,turnaround_target_mins,turnaround_actual_mins,baggage_delay_mins,safety_incident_flag
1,NRT,Menzies,2025-06-22,90,72.0,13.0,False
2,LHR,Menzies,2025-10-31,60,80.0,26.0,False
3,LHR,Menzies Aviation,2025-07-10,45,38.0,15.0,False
4,DXB,dnata,2025-07-10,60,61.0,30.0,False
5,NRT,Menzies,2025-12-26,60,82.0,13.0,False
6,JFK,Menzies,2025-01-30,45,78.0,22.0,False
7,JFK,Swissport,2025-06-23,60,49.0,19.0,False
8,FRA,dnata,2025-12-08,60,53.0,26.0,False
9,DXB,WFS,2025-08-09,120,54.0,11.0,False
10,DXB,dnata,2025-06-29,120,66.0,22.0,False
11,JFK,Menzies Aviation,2025-03-23,90,71.0,9.0,False
12,JFK,Swissport,2025-09-16,60,33.0,19.0,False
13,LHR,Menzies,2025-05-15,120,55.0,13.0,False
14, LHR,Menzies,2025-08-17,120,66.0,10.0,False
15,SIN,Menzies Aviation,2025-09-03,60,41.0,29.0,False
16,NRT,Swissport,2025-09-26,45,88.0,13.0,False
17,NRT,Swissport,2025-04-07,45,81.0,7.0,False
18,JFK,dnata,2025-07-01,45,,7.0,False
19,DXB,Menzies,2025-01-10,120,55.0,12.0,False
20,YUL,Menzies Aviation,2025-08-16,120,52.0,26.0,False
21,SIN,WFS,2025-12-07,120,70.0,28.0,False
22,NRT,Menzies,2025-09-06,120,25.0,6.0,False
23,YUL,Menzies Aviation,2025-12-03,45,92.0,20.0,False
24,NRT,Swissport,2025-03-24,45,68.0,31.0,False
25,SIN,Menzies Aviation,2025-12-31,90,53.0,8.0,False
26,LHR,Swissport,2025-06-22,60,76.0,26.0,False
27,NRT,Menzies Aviation,2025-04-06,45,50.0,6.0,False
28,YUL,Menzies,2025-05-25,120,81.0,27.0,False
29,NRT,Menzies Aviation,2025-12-20,120,47.0,13.0,False
30,FRA,Menzies Aviation,2025-01-25,45,98.0,20.0,False
31,SIN,WFS,2025-07-11,45,26.0,30.0,False
32,DXB,WFS,2025-12-12,90,64.0,9.0,False
33,NRT,dnata,2025-02-21,60,103.0,4.0,False
34,LHR,dnata,2025-12-30,90,55.0,9.0,False
35,JFK ,Menzies Aviation,2025-11-12,60,56.0,18.0,False
36,yul,Menzies,2025-07-03,90,77.0,25.0,False
37, LHR,Menzies Aviation,2025-03-18,45,89.0,13.0,False
38,LHR,Swissport,2025-05-18,60,74.0,19.0,False
39,YUL,Menzies Aviation,2025-07-12,120,51.0,3.0,False
40,FRA,dnata,2025-11-19,90,65.0,8.0,False
41,DXB,Menzies Aviation,2025-07-06,45,85.0,17.0,False
42,FRA,Swissport,2025-03-02,60,83.0,24.0,False
43,YUL,Menzies,2025-02-02,60,86.0,4.0,False
44,JFK,Menzies Aviation,2025-02-12,45,67.0,4.0,False
45,FRA,WFS,2025-06-19,45,67.0,7.0,False
46,DXB,Menzies,2025-11-02,45,52.0,28.0,False
47,JFK,Swissport,2025-06-15,60,59.0,24.0,False
48,FRA,Swissport,2025-03-28,90,51.0,1.0,False
49,SIN,Swissport,2025-08-21,45,68.0,22.0,False
50,YUL,Menzies,2025-03-31,120,55.0,14.0,False
51,LHR,Menzies Aviation,2025-10-08,45,80.0,19.0,False
52,SIN,WFS,2025-12-17,60,82.0,11.0,False
53,FRA,Menzies Aviation,2025-08-05,45,77.0,7.0,False
54,NRT,WFS,2025-07-01,45,71.0,11.0,False
55,JFK,dnata,2025-10-31,60,39.0,15.0,False
56,FRA,Menzies Aviation,2025-02-01,120,61.0,8.0,False
57,yul,WFS,2025-12-11,90,31.0,39.0,False
58,FRA,Menzies Aviation,2025-05-01,45,50.0,19.0,False
59,FRA,dnata,2025-12-24,60,79.0,22.0,False
60,YUL,dnata,2025-09-09,120,71.0,23.0,False
61,DXB,Menzies Aviation,2025-09-26,120,89.0,8.0,True
62,JFK,dnata,2025-03-15,90,53.0,11.0,False
63,JFK ,Menzies Aviation,2025-04-11,120,95.0,22.0,False
64,DXB,dnata,2025-05-28,90,54.0,20.0,False
65,FRA,Menzies Aviation,2025-07-11,45,54.0,11.0,False
66,JFK,Menzies Aviation,2025-10-19,90,36.0,4.0,False
67,FRA,Menzies,2025-08-26,120,41.0,14.0,False
68,JFK,Menzies,2025-03-30,90,,15.0,False
69,yul,Swissport,2025-01-15,120,47.0,3.0,False
70,DXB,Menzies Aviation,2025-01-18,45,60.0,26.0,False
71,DXB,Menzies Aviation,2025-02-08,90,47.0,28.0,False
72, LHR,Swissport,2025-11-08,45,54.0,23.0,False
73,DXB,Menzies,2025-06-14,60,69.0,15.0,False
74,NRT,dnata,2025-04-04,45,88.0,11.0,False
75,DXB,Menzies,2025-10-03,60,71.0,6.0,False
76,JFK,Menzies,2025-04-22,45,91.0,18.0,False
77,JFK,Menzies Aviation,2025-03-15,45,32.0,15.0,False
78,SIN,Menzies,2025-11-03,90,77.0,15.0,False
79,JFK,Swissport,2025-01-29,120,47.0,13.0,False
80,JFK,WFS,2025-01-15,90,73.0,4.0,False
81,JFK ,Menzies Aviation,2025-08-13,90,73.0,16.0,False
82,JFK,dnata,2025-07-01,45,68.0,16.0,False
83,YUL,dnata,2025-04-14,60,63.0,29.0,False
84,LHR,WFS,2025-08-24,90,69.0,17.0,False
85,SIN,Swissport,2025-05-21,120,74.0,13.0,False
86,FRA,dnata,2025-03-12,120,32.0,10.0,False
87,FRA,Menzies,2025-11-04,120,54.0,24.0,False
88,LHR,Menzies,2025-12-02,120,69.0,20.0,False
89,DXB,Menzies Aviation,2025-01-20,60,67.0,10.0,False
90,LHR,dnata,2025-11-15,120,51.0,20.0,False
91,YUL,dnata,2025-05-10,90,69.0,4.0,False
92,YUL,WFS,2025-12-21,90,79.0,3.0,False
93,JFK,Menzies,2025-09-15,45,75.0,21.0,False
94,SIN,Swissport,2025-03-10,45,61.0,19.0,False
95,NRT,WFS,2025-03-27,60,84.0,18.0,False
96,YUL,dnata,2025-07-20,120,79.0,22.0,False
97,JFK,Menzies Aviation,2025-10-22,60,32.0,22.0,False
98,DXB,Menzies,2025-11-27,120,49.0,7.0,False
99,LHR,WFS,2025-02-20,45,88.0,22.0,False
100,DXB,WFS,2025-10-18,90,58.0,2.0,False
101,JFK,Menzies Aviation,2025-01-04,120,50.0,26.0,False
102,YUL,dnata,2025-04-21,60,48.0,17.0,False
103,SIN,Menzies Aviation,2025-05-01,60,102.0,16.0,False
104,LHR,Menzies,2025-10-10,60,65.0,17.0,False
105,YUL,Menzies Aviation,2025-09-06,90,57.0,20.0,False
106,NRT,Menzies,2025-07-31,60,75.0,22.0,False
107,YUL,Menzies,2025-10-01,45,85.0,9.0,False
108,LHR,dnata,2025-03-11,90,75.0,11.0,True
109,FRA,dnata,2025-05-26,60,57.0,21.0,False
110,yul,dnata,2025-01-01,60,86.0,12.0,False
111,FRA,Swissport,2025-05-01,45,49.0,27.0,False
112,SIN,Menzies Aviation,2025-09-19,60,79.0,19.0,False
113,LHR,WFS,2025-04-07,45,89.0,15.0,False
114,SIN,Menzies Aviation,2025-11-24,90,75.0,12.0,False
115,LHR,Menzies Aviation,2025-07-27,120,90.0,12.0,False
116,FRA,WFS,2025-12-17,45,65.0,6.0,False
117,DXB,Menzies Aviation,2025-12-10,120,92.0,16.0,True
118,FRA,dnata,2025-04-12,60,85.0,29.0,False
119,JFK,dnata,2025-08-25,45,67.0,1.0,False
120,DXB,WFS,2025-11-01,60,70.0,26.0,False
121,NRT,Menzies Aviation,2025-03-25,45,46.0,33.0,False
122,DXB,Menzies,2025-04-05,90,55.0,9.0,False
123,NRT,WFS,2025-05-14,120,77.0,8.0,False
124,LHR,Menzies,2025-12-01,45,102.0,9.0,False
125,SIN,Menzies Aviation,2025-12-10,45,62.0,28.0,False
126,SIN,dnata,2025-07-01,90,53.0,22.0,False
127,DXB,Swissport,2025-08-24,120,64.0,20.0,False
128,JFK,Menzies,2025-04-11,90,70.0,7.0,False
129,YUL,WFS,2025-01-31,90,63.0,17.0,False
130,LHR,Menzies,2025-07-19,60,79.0,13.0,False
131,NRT,dnata,2025-04-12,60,76.0,35.0,False
132,YUL,Menzies,2025-04-30,45,86.0,5.0,False
133,YUL,Menzies,2025-02-09,90,73.0,-6.0,False
134,DXB,Swissport,2025-02-27,45,79.0,-0.0,False
135,LHR,Swissport,2025-04-13,120,64.0,6.0,False
136,SIN,dnata,2025-09-06,90,65.0,12.0,False
137,FRA,dnata,2025-12-04,60,43.0,8.0,False
138,LHR,dnata,2025-12-05,90,70.0,18.0,False
139,FRA,Swissport,2025-04-10,45,64.0,26.0,False
140,DXB,dnata,2025-02-09,60,60.0,15.0,False
141,NRT,Menzies,2025-05-07,45,59.0,10.0,False
142,JFK,Swissport,2025-04-10,120,47.0,-1.0,False
143, LHR,dnata,2025-05-25,60,59.0,3.0,False
144,NRT,Menzies,2025-05-25,60,65.0,24.0,False
145,JFK,Swissport,2025-07-24,90,50.0,15.0,False
146,LHR,WFS,2025-12-16,90,60.0,17.0,False
147, LHR,dnata,2025-06-19,90,52.0,8.0,False
148,DXB,dnata,2025-12-22,120,64.0,26.0,False
149,JFK,dnata,2025-02-01,45,47.0,20.0,False
150,FRA,dnata,2025-11-06,45,82.0,14.0,False
151,NRT,Menzies Aviation,2025-12-25,45,59.0,6.0,False
152,LHR,WFS,2025-07-13,120,74.0,18.0,False
153,FRA,Swissport,2025-12-17,45,56.0,13.0,False
154,JFK,WFS,2025-12-29,45,66.0,23.0,False
155,YUL,Swissport,2025-04-07,60,70.0,27.0,False
156,YUL,Swissport,2025-01-06,90,72.0,16.0,False
157,YUL,Menzies Aviation,2025-04-04,60,56.0,10.0,False
158,JFK,Swissport,2025-05-16,120,54.0,13.0,False
159,SIN,dnata,2025-09-20,120,37.0,3.0,False
160,YUL,Menzies,2025-12-12,120,55.0,13.0,False
161,LHR,Menzies Aviation,2025-01-03,90,69.0,20.0,False
162,JFK,WFS,2025-10-06,45,62.0,15.0,False
